Sr. No.,Test case name,Test Objective,Steps,Action,Expected Result,Actual Result,Test Data,"Result 
,,,2,click on choose file,tab containing files should be open,tab containing files should be open,,Pass,
,,,3,select file above 2 mb and click open,"""only less than 2mb docs are allowed"" should popup","""only less than 2mb docs are allowed"" should popup",,Pass,
,,,,,,,,,
36,Company_Profile,Verify uploading by drag and drop image functionality working or not,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,
,,,2,By Drag the file from folder and drop it on company egistration document choose file,The file name should be visible in company logo input box,The file name should be visible in company logo input box,,Pass,
,,,,,,,,,
Registration id,,,,,,,,,
37,Company_Profile,Verify the Registration id input field is editable,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,RegistrationID is not mandetory field now
,,,2,Go to Registration id input field and start typing,The Registration id input field should be editable,The Registration id input field is editable,,Pass,
,,,,,,,,,
38,Company_Profile,Verify the Registration id input field Accepts minimum 5 charecters.,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,Registration ID is not a mandetory input field
,,,2,Go to Registration id input field and start typing only four charecter,"""Registration id must be at least 5 characters"" error should be displayed","""Registration id must be at least 5 characters"" error should be displayed",,pass,
,,,,,,,,,
39,Company_Profile,Verify the Registration Id input field has maximum 50 charecters limit.,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,Registration ID is not a mandetory input field
,,,2,Go to company name input field and start typing above 20  charecter,"""Registration id must not exceed 20 characters"" error should be displayed","""Registration id must not exceed 20 characters"" error should be displayed",,pass,
,,,,,,,,,
40,Company_Profile,Verify the Registration id input field throw error message if its empty,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,Registration ID is not a mandetory input field
,,,2,Go to Registration id input field click inside and then outside,"""Registration id is required"" error should be displayed","""Registration id is required"" error should be displayed",,,
,,,,,,,,,
41,Company_Profile,Verify the space should not allowed in Registration id ,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,Registration ID is not a mandetory input field
,,,2,"Go to Registration id input field click inside, start typing text with space","""Invalid id"" error message should throw","""Invalid id"" error message should throw",,,
,,,,,,,,,
42,Company_Profile,Verify if Registration id is aligned properly or not,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,Registration ID is not a mandetory input field
,,,2,Go to Registration id and check Registartion id input fieldand text are aligned properly or not,should properly aligned with buisness type and company website input filed,Not aligned,,failed,
,,,,,,,,,
Product Categories,,,,,,,,,
43,Company_Profile,verify the Product Categories dropdown menu button is working or not,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,
,,,2,Go to Product Categories dropdown menu and click,"The following element should be visible in Product Categories: 
Health, Dine Out, Accessories, Cosmetic, Electronics, Games, Luggage and, bags, Home decor, OTT, Buisness and Industrial, etc","The following element should be visible in Product Categories: 
Health, Dine Out, Accessories, Cosmetic, Electronics, Games, Luggage and, bags, Home decor, OTT, Buisness and Industrial, etc",,pass,The new categories are added. this categories are removed 
,,,,,,,,,
44,Company_Profile,Verify that search functonality is working or not,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,This feature is obsolate
,,,2,"Go to select Product categories and click, type category name in search box",typed category should appear,typed category is appear,,,
,,,,,,,,,
45,Company_Profile,"verify if Product categories remain not selected, the error message should visible",1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,The upadate changes button is not activate if product categories are not selected
,,,2,Go to select Product categories and click and click outside,"""Categories is required"" error message should appear","""Categories is required"" appeared",,,
,,,,,,,,,
46,Company_Profile,verify select all functionality is working or not,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,Select All is not available now in product categories
,,,2,Go to select Product categories and click select all,all categories should be selected,all categories should be selected,,,
,,,,,,,,,
47,Company_Profile,verify select all functionality is working or not,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,Select All is not available now in product categories
,,,2,Go to select Product categories and click select all,all categories should be selected,all categories should be selected,,,
,,,,,,,,,
48,Company_Profile,verify to remove a category after selection functionality is working or not,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,This feature is obsolate
,,,2,Go to select Product categories and click ,List of categories will appear,list of category is appeard,,,
,,,3,click on 'x' at selected category,selected category should vanish,selected category should vanish,,,
,,,,,,,,,
49,Company_Profile,Verify the drop down should scroll down using mouse,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,
,,,2,Go to select Product categories and click ,List of categories will appear,list of category is appeard,,,
,,,3,scroll the mouse ,categories should be scrolled down by mouse,categories are scrolled down by mouse,,,
,,,,,,,,,
50,Company_Profile,Verify the drop down should scroll down using mouse,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,
,,,2,Go to select Product categories and click ,List of categories will appear,list of category is appeard,,,
,,,,,,,,,
51,Company_Profile,verify unselect all functionality is working or not,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,This feature is obsolate
,,,2,Go to select Product categories and click select all,all categories should be selected,all categories should be selected,,,
,,,3,click unselect all,all categories should be removed,all categories are removed,,,
,,,,,,,,,
Comapny Address,,,,,,,,,
52,Company_Profile,Verify Comapny Address input field is editable,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,Company Address input field is renamed as Adress Line
,,,2,Go to Comapny Address and type text,typed text should appear in Comapny Address input text,typed text has appeared in Comapny Address input text,,,
,,,,,,,,,
53,Company_Profile,Verify Comapny Address input field accepts adress with alphanumeric charecters,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,Company Address input field is renamed as Adress Line
,,,2,Go to Comapny Address and type alphanumeric text,alphanumeric address is accepted in Comapny Address input field,alphanumeric address is accepted in Comapny Address input field,,,
,,,,,,,,,
54,Company_Profile,"Verify Comapny Address input field accepts adress with special charecters (e.g. hypens, periods, commas)",1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,Company Address input field is renamed as Adress Line
,,,2,"Go to Comapny Address and type address with special charecters (e.g. hypens, periods, commas)",special charecters address is accepted in Comapny Address input field,special charecters address is accepted in Comapny Address input field,,,
,,,,,,,,,
55,Company_Profile,Verify Comapany Address input field accepts copy paste functionality by mouse,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,Company Address input field is renamed as Adress Line
,,,2,"Go to Comapny Address, copy address and paste ",copy paste functionality should work using mouse,copy paste functionality is working using mouse,,,
,,,,,,,,,
56,Company_Profile,Verify Comapny Address input field accepts copy (CTRL+C) paste (CTRL+V) functionality by keyboard ,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,Company Address input field is renamed as Adress Line
,,,2,"Go to Comapny Address, copy  address and paste by keyboard",copy paste functionality should work using keyboard,copy paste functionality is working using keyboard,,,
,,,,,,,,,
57,Company_Profile,Verify Comapny Address input field accepts mutiple line (Enter functionality),1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,Company Address input field is renamed as Adress Line
,,,2,"Go to Comapny Address, type address and press enter on keyboard",should return the line and starts new sentence,starts new sentence,,,
,,,,,,,,,
Additional Information,,,,,,,,,
58,Company_Profile,Verify Additional Information input field is editable,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,
,,,2,Go to Additional Information and type text,typed text should appear in Additional Information input text,typed text has appeared in Additional Information input text,,,
,,,,,,,,,
59,Company_Profile,Verify Additional Information input field accepts adress with alphanumeric charecters,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,
,,,2,Go to Additional Information and type alphanumeric text,alphanumeric address is accepted in Additional Information input field,alphanumeric address is accepted in Additional Information input field,,,
,,,,,,,,,
60,Company_Profile,"Verify Additional Information input field accepts adress with special charecters (e.g. hypens, periods, commas)",1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,
,,,2,"Go to Additional Information and type address with special charecters (e.g. hypens, periods, commas)",special charecters address is accepted in Additional Information input field,special charecters address is accepted in Additional Information input field,,,
,,,,,,,,,
61,Company_Profile,Verify Additional Information input field accepts copy paste functionality by mouse,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,
,,,2,"Go to Additional Information, copy address and paste ",copy paste functionality should work using mouse,copy paste functionality is working using mouse,,,
,,,,,,,,,
62,Company_Profile,Verify Additional Information input field accepts copy (CTRL+C) paste (CTRL+V) functionality by keyboard ,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,
,,,2,"Go to Additional Information, copy  address and paste by keyboard",copy paste functionality should work using keyboard,copy paste functionality is working using keyboard,,,
,,,,,,,,,
63,Company_Profile,Verify Additional Information input field accepts mutiple line (Enter functionality),1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,
,,,2,"Go to Additional Information, type address and press enter on keyboard",should return the line and starts new sentence,starts new sentence,,,
,,,,,,,,,
"Country, State, City",,,,,,,,,
64,Company_Profile,Verify the country dropdown is showing the countrys properly,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,The country dropdown is removed. Now the country selected while registration is shown in country input field with fixed text.
,,,2,Go to country drop down menu and click,Country names should visible,Country names should visible,,,
,,,,,,,,,
65,Company_Profile,Verify if typing first three country letters in country dropdown menu will appear in drop down menu,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,The country dropdown is removed. Now the country selected while registration is shown in country input field with fixed text.
,,,2,Go to country drop down menu and click,Country names should visible,Country names should visible,,Pass,
,,,3,Type first 3 letter of any country ,The typed country should appear,The typed country is appearing,,Pass,
,,,,,,,,,
66,Company_Profile,Verify the State dropdown is showing the state of respective country selected.,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,
,,,2,Go to country drop down menu and click,Country names should visible,Country names should visible,,,The country dropdown is removed. Now the country selected while registration is shown in country input field with fixed text.
,,,3,after selecting country navihgate to state drop down menu and click,state names should be appear,state names should be appear,,Pass,
,,,,,,,,,
67,Company_Profile,Verify after selecting the country the state names are identified,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,
,,,2,Go to country drop down menu and click,Country names should visible,Country names should visible,,Pass,The country dropdown is removed. Now the country selected while registration is shown in country input field with fixed text.
,,,3,Type first 3 letter of any country ,The typed country should appear,The typed country is appearing,Azerbijan,Pass,The country dropdown is removed. Now the country selected while registration is shown in country input field with fixed text.
,,,4,click on state drop down menu and observe,All country and state names should be in English and readable.,Some State names are not readable,,Fail,
,,,,,,,,,
68,Company_Profile,Verify No error message should be there when state is selected,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,
,,,2,Go to country drop down menu and click,Country names should visible,Country names should visible,,Pass,The country dropdown is removed. Now the country selected while registration is shown in country input field with fixed text.
,,,3,Type first 3 letter of any country  and select,The typed country should appear and select,The typed country is appearing and country is selected,,Pass,The country dropdown is removed. Now the country selected while registration is shown in country input field with fixed text.
,,,4,click on state drop down menu and select state,The state should selected without error message,"""State is Required"" Error is showing even after selecting the state in some country selection",,Fail,"Country: Azerbaijaan
State: Ada

Country: Morocco
State:Beni Mellal"
,,,,,,,,,
69,Company_Profile,Verify the city names should visible after selecting country and state,1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,
,,,2,Go to country drop down menu and click,Country names should visible,Country names should visible,,Pass,The country dropdown is removed. Now the country selected while registration is shown in country input field with fixed text.
,,,3,Type first 3 letter of any country  and select,The typed country should appear and select,The typed country is appearing and country is selected,,Pass,The country dropdown is removed. Now the country selected while registration is shown in country input field with fixed text.
,,,4,click on state drop down menu and select state,The state should selected without error message,The state should selected without error message,,Fail,
,,,5,The city should appear in city dropdown menu,The respective city should appear after selecting country and state,The city is not appearing in some country and state selection,,Fail,"Country: Iceland
State: Saudarkrokur"
,,,,,,,,,
70,Company_Profile,"Verify after selecting country, state, city and after reselecting state again the city dropdown should remain unselected",1,Click on company profile on left navigation plane,"The following element should be visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.","The following element is visible in Company Registration Page: 
1. Company Name
2. Company Website
3. Company Logo
4. Buisness Type (retailers governments)
5. Registration Id etc.",,Pass,The country dropdown is removed. Now the country selected while registration is shown in country input field with fixed text.
,,,2,Go to country drop down menu and click,Country names should visible,Country names should visible,,Pass,
,,,3,Type first 3 letter of any country  and select,The typed country should appear and select,The typed country is appearing and country is selected,,Pass,
,,,4,click on state drop down menu and select state,The state should selected without error message,The state should selected without error message,,Fail,
,,,5,The city should appear in city dropdown menu,The respective city should appear after selecting country and state,The city is not appearing in some country and state selection,,Fail,
,,,6,Go to state drop down menu and select another state,the previously selected city should dissapper ,the previously selected city should dissapper ,,Pass,
,,,,,,,,,
71,,,,,,,,,
